sira,gazete,baslik,url,haber_metni
3642,Diken,Mehmet Barlas: YİK üyelerinden Erdoğan’a içten ve ciddi uyarılar gelmesi bekleniyor,http://www.diken.com.tr/mehmet-barlas-yik-uyelerinden-erdogana-icten-ve-ciddi-uyarilar-gelmesi-bekleniyor/,"Türk siyasetinde 'Danışmanlık' genel olarak gönül almak için rütbesi olan fakat görevi olmayan isimlere verilir. Yüksek İstişare Kurulu'nda görev alanlar da, böyle kişiler - Mesela AK Partili eski TBMM Başkanları olan YİK üyeleri Bülent Arınç, KöksalToptan, Cemil Çiçek ve Mehmet Ali Şahin böyle isimler değiller mi? Teoride bu isimlerden Cumhurbaşkanı Erdoğan'a içten ve ciddi uyarılar gelmesi bekleniyor -"
3643,Diken,"Orhan Bursalı: Erdoğan, yıldızı sönmekte olan bir olgu",http://www.diken.com.tr/orhan-bursali-erdogan-yildizi-sonmekte-olan-bir-olgu/,"Erdoğan, yıldızı sönmekte olan bir olgu.  Bazıları, henüz çok sayıda 'hiç', etrafından dönüp duruyor. Ama etrafında dönenler giderek azalacak. Çekim gücü zayıflıyor. Merkezden, odaktan kaçanlar çoğalıyor.. Baksanıza, bu çekimden kurtulanlar başka odaklar bile oluşturmaya başladı. Ama 'hiç'lerin bir geleceği yok. Orhan Bursalı'nın yazısı"
3644,Hürriyet,VİYADÜKTEN UÇTU ŞOFÖR ÖLDÜ,http://www.hurriyet.com.tr/yerel-haberler/ankara/viyadukten-uctu-sofor-oldu-41342829,"İhbar üzerine olay yerine itfaiye, güvenlik güçleri ve sağlık ekibi sevk edildi. Olay yerinde yaşamını yitiren TIR şoförünün cenazesi, sağlık ekiplerince bulunduğu yerden alınarak morga götürüldü."
3645,Gazete Duvar,İETT ilk kez kadın şoför alacak,https://www.gazeteduvar.com.tr/kadin/2019/10/03/iett-ilk-kez-kadin-sofor-alacak/,"İETT tarihinde ilk defa kadın otobüs şoförü işe alacak. İETT'nin açıklamasında ""İETT Genel Müdürlüğü, İBB Başkanı Ekrem İmamoğlu'nun talimatı doğrultusunda ihtiyaç duyduğu 10 şoför için kadınları tercih etti"" denildi."
3646,Anadolu Ajansı,Binicilikte heyecan Cumhurbaşkanlığı Kupası ile sürecek,https://www.aa.com.tr/tr/guncel/binicilikte-heyecan-cumhurbaskanligi-kupasi-ile-surecek/1600710,"Binicilikte Cumhurbaşkanlığı Kupası Engel Atlama Yarışmaları, hafta sonu Ankara'da gerçekleştirilecek"
3647,Yeni Akit,ABD'den kritik Türkiye ve F-35 açıklaması,https://www.yeniakit.com.tr/haber/abdden-kritik-turkiye-ve-f-35-aciklamasi-940010.html,"ABD'nin Avrupa Kuvvetleri ve NATO Müttefik Kuvvetler Yüksek Komutanı Orgeneral Tod Wolters, Türkiye ile ABD arasında yaşanan F-35 krizine ilişkin açıklamalarda..."
3648,Karar,Bağdat'ta geniş kapsamlı sokağa çıkma yasağı ilan edildi,https://www.karar.com/dunya-haberleri/bagdatta-genis-kapsamli-sokaga-cikma-yasagi-ilan-edildi-1341630,Irak'ın başkenti Bağdat'ta hükümet karşıtı gösteriler nedeniyle geniş kapsamlı sokağa çıkma yasağı ilan edildi.
3649,T24,Dünya Hayvanları Koruma Günü'nden bir gün önce 3 köpek vurularak öldürüldü,"https://t24.com.tr/haber/dunya-hayvanlari-koruma-gunu-nden-bir-gun-once-3-kopek-vurularak-olduruldu,842231","Boğazından zincirle bağlanmış olan 2 Sivas Kangalı, kimliği belirlenemeyen şahıslarca öldürüldükten sonra çukura gömülmüş"
3650,HaberTürk,Emekli Büyükelçi İşcan BM İşkenceye Karşı Komite üyeliğine seçildi,https://www.haberturk.com/emekli-buyukelci-erdogan-iscan-bm-iskenceye-karsi-komite-uyeligine-secildi-2527828,"Birleşmiş Milletler İşkenceye Karşı Komite seçimlerinde, Türkiye'nin aday gösterdiği Emekli Büyükelçi Erdoğan İşcan, ilk turda 83 oy olarak Komite üyeliğine seçildi"
3651,Karar,"Gaziantep'te feci kaza: 1 ölü, 3 yaralı",https://www.karar.com/guncel-haberler/gaziantepte-feci-kaza-1-olu-3-yarali-1342639,"Gaziantep'in Nurdağı ilçesinde, 2 TIR ile otomobilin karıştığı zincirleme trafik kazasında 1 kişi hayatını kaybetti, 3 kişi yaralandı."
