104	733	3	12.35
167	114	3	9.1
125	6763	3	39.63
939	2940	3	44.91
101	1160	3	6.61
5294	5	3	40.66
102	476	4	9.5
399	258	3	25.69
688	103	3	11.98
204	57	6	24
3391	1200	3	47.72
1621	103	4	24.87
3373	104	3	21.88
153	524	7	65.59
175	2546	3	32.94
484	1004	3	34.36
101	570	6	14.37
329	14	41	186.6
1215	117	3	22.5
4115	14	4	17.47
1111	3144	3	47.29
107	365	6	29.39
252	600	3	27.97
301	584	5	53.53
153	125	3	11.34
101	5884	3	16.86
3959	115	3	30.09
214	138	6	40.36
4026	14	5	27.93
1391	101	5	18.64
1697	14	8	32.19
110	102	18	9.8
2096	3870	3	52.86
111	683	4	24.59
170	1032	3	27.15
893	110	4	25.73
12	354	7	7.62
101	826	3	4.88
2450	125	3	29.05
681	113	8	63.14
298	847	3	30.77
2660	1190	3	46.47
116	230	3	12.87
569	1497	5	69.32
2236	12	3	7.62
4485	12	3	11.97
101	963	4	9.71
12	1505	5	15.22
103	123	6	7.76
204	2590	6	81.55
1504	4786	3	53.05
760	14	22	114.85
102	1093	4	15.27
458	14	11	20.3
201	107	10	45.98
283	12	9	10.57
928	12	4	6.17
136	16	7	33.48
125	1198	4	35.49
663	297	3	29.29
2332	8654	3	60.46
3083	12	3	9.33
963	12	4	6.53
101	914	3	5.38
434	486	8	98.03
5023	14	3	12.39
12	251	13	21.15
3510	14	4	14.96
145	256	6	44.68
624	182	4	36.13
6988	14	3	16.76
521	203	3	25.28
8624	14	3	16.76
411	3918	3	43.16
12	403	8	12.34
139	631	3	22.57
1336	1296	4	58.92
313	343	6	61.2
2002	445	3	38.01
8482	12	3	18.52
193	102	7	11.35
160	102	7	8.35
913	101	3	5.38
112	1172	4	29.17
122	105	6	7.84
127	351	4	26.42
3603	116	4	42.33
436	116	5	33.29
1212	14	8	24.85
3307	14	3	8.82
102	125	8	5.16
831	139	5	45.97
102	330	3	3.91
102	271	25	129.71
103	1637	3	16.65
12	961	4	6.53
934	4951	3	49.97
636	8	3	15.75
105	351	4	13.66
