21035	7	19
161	9901	17
103	3149	10
10223	9960	8
1241	2003	10
5372	3186	5
9867	7375	0
23973	8294	0
12	6209	5
155	1719	2
114	6177	23
1553	6676	4
12	9058	7
264	9806	0
6691	6467	17
7565	4638	26
4611	5226	0
104	1984	5
45423	9306	9
4402	3644	4
12	5871	20
3783	2740	1
11669	8301	13
137	2959	3
118	3931	11
7588	9676	30
17344	281	13
4015	5533	15
1501	6691	5
169	5897	20
169	9966	15
942	9040	7
11931	8302	15
12	4823	16
8	2690	7
58	7557	16
27286	6121	14
6139	6600	15
29514	731	29
5960	6946	11
110	5153	4
8497	9985	1
2064	7594	3
259	9155	3
445	2930	9
39005	429	9
1564	5820	9
13215	2544	17
3903	465	28
5471	8160	9
698	3954	1
1066	6813	11
20918	3194	1
8680	6168	4
14	3864	21
9291	9344	10
156	1094	8
6218	2687	4
12	121	4
5440	7160	7
20411	2740	20
325	72	12
46404	1853	14
1986	1039	4
19824	4828	0
6841	7978	14
8391	876	9
1639	9152	0
660	2626	1
1541	8060	4
1097	7059	12
301	5968	14
5130	5619	13
1113	196	7
158	2882	11
174	3648	14
14	4730	14
7112	7827	9
4570	6986	3
23069	6475	16
177	1560	11
3911	2017	3
1	6575	5
182	6745	7
157	5701	2
14	439	16
17325	1089	0
14533	1546	12
129	6291	7
2671	9899	5
204	5740	6
175	1622	17
202	4239	20
337	1529	22
1260	5249	20
117	6347	3
2650	7964	4
11416	801	18
102	19	5
1583	9317	3
992	5593	10
44368	2125	11
40152	5529	1
12	2171	9
12	7737	3
110	8621	3
14	9876	23
2621	6968	2
135	4363	17
7604	8632	12
923	3131	3
227	3974	16
2361	7106	0
112	9148	14
46775	1487	26
14	2847	19
4276	843	6
10129	6919	9
16475	16	27
3504	307	4
19213	3997	0
14371	6901	17
4566	6141	3
994	8121	5
10791	7110	23
42118	560	11
1570	7562	5
8246	6161	15
28313	4005	12
1716	7975	15
164	1492	15
43262	9897	11
109	2153	0
1801	8678	1
9589	5746	0
12	7665	19
127	795	6
2758	1519	9
17096	94	1
11070	7747	17
14	7230	19
2340	5948	22
13826	9705	21
2109	1768	2
14	9079	25
304	4190	28
297	5891	14
404	6754	1
30201	9040	10
6603	6454	2
146	6184	4
3530	4321	16
13612	960	21
3815	892	1
8344	2767	18
35330	2079	5
3012	7483	15
2007	8585	11
102	126	11
24497	7550	8
366	8168	10
1570	9774	5
154	2021	13
482	4382	21
10189	6221	13
14	7516	13
14807	674	6
6786	2562	6
16792	8864	17
13064	430	14
26317	1715	4
26664	1525	10
1285	7249	3
551	2663	6
29265	192	11
10491	3164	3
3776	8914	20
6518	6505	0
269	8686	6
37762	2139	3
180	6038	5
24713	8989	0
14	8947	10
113	5628	4
18704	3588	0
41234	6030	23
47961	7204	9
12	3026	22
102	607	6
8308	5335	7
453	3971	4
156	4303	3
156	9958	26
32597	5639	20
590	1247	0
279	769	15
30511	8378	13
4042	6569	5
103	8918	5
14	2367	10
16654	6096	15
175	9151	3
352	3847	1
152	2531	11
297	8653	14
172	8390	3
46017	4639	13
13252	3188	8
543	9648	7
465	4254	7
10935	8686	16
11285	1872	1
7153	7528	20
23185	3799	9
41720	7660	2
12	3226	2
17478	8861	1
133	6923	5
120	8740	19
17414	4812	10
27084	4691	13
8608	181	9
14161	4199	23
35812	10000	4
10354	4143	9
6562	7035	3
118	4421	1
110	9996	10
109	1988	0
240	3910	9
364	9132	9
4239	2492	7
11024	544	32
12231	4177	10
12	6099	7
5751	8315	17
537	2520	4
15595	9838	8
9	8412	9
4573	3951	2
12554	6350	19
107	3977	3
12	5396	7
8978	3755	20
182	8028	4
7	4956	19
14072	9086	15
3934	6255	4
257	5196	9
4178	7836	12
2795	4663	4
130	6081	13
103	5533	2
1094	8160	3
684	3352	21
147	7049	7
1057	9028	21
154	6467	7
1606	5514	13
2171	1717	2
181	6419	28
14	8534	20
11880	8060	12
12	7547	4
39209	6981	5
26787	4117	10
4224	4194	5
3610	289	14
12	2780	18
23672	3387	12
22108	8298	5
560	8379	10
1972	867	2
28603	4299	2
41342	4764	9
2022	8613	5
25168	6193	7
4198	2074	2
3312	8652	31
42686	7851	1
14	2835	18
105	670	2
6473	5682	1
616	6392	17
568	6698	3
122	4997	14
137	7993	10
12	6417	12
19756	4408	0
1590	7977	9
35620	8964	8
1378	8380	8
254	6863	11
128	215	11
1556	9703	8
9085	1610	0
101	4919	5
2255	6408	9
47211	4912	14
48436	9429	1
102	6303	5
1040	4646	3
12	1717	3
4083	7101	11
14	8862	4
7632	8210	2
6	7053	10
102	6878	19
3148	6026	13
18116	8690	9
9217	3837	0
8634	2898	4
125	6136	12
1996	7604	1
1169	3659	27
724	1904	16
633	4992	4
12	3720	35
42161	7556	8
34889	8131	11
26987	767	3
176	7094	1
1159	3190	13
584	8111	4
2560	9475	6
6035	9930	3
17	7223	18
12	4791	11
1127	7704	10
5	8206	12
166	1431	0
12	2781	6
198	5438	7
177	1501	14
15188	5681	24
295	7236	11
29067	5418	20
5838	1634	5
